Pretrained model,Lower Bound,Upper Bound,Scaling,Alpha,Features,Mean Square Error,R2-Square,,,,,,,
resnet101,0,340.csv,KnnImpute,2.0,54,0.2245984928904259,0.6798287720140103,,,,,,,
resnet101,0,340.csv,KnnImpute,9.0,20,0.353072820964881,0.4966851415518905,,,,,,,
resnet101,0,340.csv,KnnImpute,11.0,19,0.3724805577576677,0.46901888768968447,,,,,,,
resnet101,0,340.csv,Standardization,10.5,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,11.5,18,0.37721716728829074,0.46226672265779545,,,,,,,
resnet101,0,340.csv,KnnImpute,16.5,13,0.42255471130754374,0.39763682707966763,,,,,,,
resnet101,0,340.csv,MinMax,18.0,0,0.701521580493067,-3.7992217142068796e-05,,,,,,,
resnet101,0,340.csv,KnnImpute,0.5,101,0.07682313456699721,0.8904865432732522,,,,,,,
resnet101,0,340.csv,Standardization,16.5,0,0.7006090847364284,-4.265833513894535e-05,,,,,,,
resnet101,0,340.csv,MinMax,16.0,0,0.7006090847364284,-4.265833513894535e-05,,,,,,,
resnet101,0,340.csv,MinMax,4.0,0,0.7006090847364284,-4.265833513894535e-05,,,,,,,
resnet101,0,340.csv,Standardization,8.0,0,0.7006090847364284,-4.265833513894535e-05,,,,,,,
resnet101,0,340.csv,Standardization,18.5,0,0.7006090847364284,-4.265833513894535e-05,,,,,,,
