Model,Lower Bound,Upper Bound,Scaling method,Alpha,Mean Square Error,R2-Square
resnet50,0,153.csv,KnnImpute,12.5,21,0.5573283260774587,0.20172207021936617
resnet50,0,153.csv,KnnImpute,6.5,41,0.4049744841187618,0.4199430072546235
resnet50,0,153.csv,KnnImpute,5.0,51,0.3412777361112825,0.5111777530121939
resnet50,0,153.csv,KnnImpute,19.5,19,0.6356516221666029,0.08953728482421686
resnet50,0,153.csv,MinMax,4.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,0.5,110,0.1278335774911372,0.8169001667037205
resnet50,0,153.csv,MinMax,7.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,11.5,23,0.479631722323552,0.31300922555235167
resnet50,0,153.csv,Standardization,16.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,Standardization,7.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,Standardization,3.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,MinMax,17.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,18.0,16,0.5365628438973173,0.2314650876653448
resnet50,0,153.csv,KnnImpute,9.5,27,0.4720184238666778,0.3239139792614085
resnet50,0,153.csv,KnnImpute,14.0,16,0.5045143154359139,0.2773691477240636
resnet50,0,153.csv,KnnImpute,16.0,16,0.5181624796902442,0.2578204763279168
resnet50,0,153.csv,KnnImpute,5.5,40,0.42355342014650094,0.39333184486470185
resnet50,0,153.csv,KnnImpute,11.0,23,0.4764097034632479,0.3176242189506241
resnet50,0,153.csv,MinMax,12.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,Standardization,19.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,13.0,20,0.49618662698442123,0.2892971434599052
resnet50,0,153.csv,KnnImpute,12.0,22,0.48383995970583016,0.30698164204660394
resnet50,0,153.csv,KnnImpute,9.0,28,0.47265440308969325,0.32300304731379803
resnet50,0,153.csv,KnnImpute,15.5,17,0.5140842237631083,0.2636618835313561
resnet50,0,153.csv,KnnImpute,17.0,15,0.5270465521819975,0.24509555519094184
resnet50,0,153.csv,Standardization,15.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,MinMax,10.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,8.0,31,0.4719914504543341,0.323952614081778
resnet50,0,153.csv,MinMax,13.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,2.5,61,0.32250265893794783,0.5380698541958653
resnet50,0,153.csv,KnnImpute,2.0,70,0.29406155874468326,0.5788068875039614
resnet50,0,153.csv,KnnImpute,1.5,79,0.2558570993729263,0.6335282704100149
resnet50,0,153.csv,Standardization,10.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,19.0,15,0.5465437478622941,0.21716914220250183
resnet50,0,153.csv,MinMax,6.0,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,18.5,16,0.5415273123401483,0.22435433193021714
resnet50,0,153.csv,Standardization,8.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,KnnImpute,4.5,46,0.41339565647227483,0.40788111174681474
resnet50,0,153.csv,KnnImpute,5.0,42,0.42034303373104015,0.3979301767664143
resnet50,0,153.csv,KnnImpute,6.5,38,0.44814091252063204,0.3581144485965808
resnet50,0,153.csv,KnnImpute,1.0,91,0.20620524658559558,0.7046460952150195
resnet50,0,153.csv,KnnImpute,3.0,55,0.3442561160427409,0.5069117308946417
resnet50,0,153.csv,KnnImpute,4.0,49,0.39935106398238435,0.42799759908983237
resnet50,0,153.csv,MinMax,14.5,0,0.6981923510737711,-4.1660409669352916e-05
resnet50,0,153.csv,Standardization,10.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,8.0,35,0.43747483993870323,0.37636778006127203
resnet50,0,153.csv,Standardization,6.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,13.5,19,0.4845580373928913,0.30924940828409075
resnet50,0,153.csv,MinMax,8.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,MinMax,4.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,17.5,17,0.5199792253075419,0.2587555466138389
resnet50,0,153.csv,KnnImpute,9.5,29,0.45318233600255226,0.35397631946584784
resnet50,0,153.csv,KnnImpute,5.0,46,0.36987454997141345,0.4727338222928884
resnet50,0,153.csv,Standardization,9.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,19.0,15,0.5331310636496973,0.24000724524239814
resnet50,0,153.csv,MinMax,5.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,18.0,16,0.5250006387955987,0.25159738583543656
resnet50,0,153.csv,Standardization,3.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,MinMax,14.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,1.5,83,0.18588569044320613,0.7350149192529962
resnet50,0,153.csv,KnnImpute,14.0,19,0.48780125524245876,0.3046261134963172
resnet50,0,153.csv,Standardization,11.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,MinMax,17.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,7.5,36,0.4287415021883052,0.3888173892994137
resnet50,0,153.csv,Standardization,12.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,11.0,24,0.4695756666854366,0.3306071830661653
resnet50,0,153.csv,KnnImpute,6.5,37,0.41037496581107163,0.4149993838002276
resnet50,0,153.csv,KnnImpute,2.0,82,0.21287603066099942,0.6965394590658861
resnet50,0,153.csv,KnnImpute,18.5,15,0.5292336699614731,0.24556308538649196
resnet50,0,153.csv,KnnImpute,15.0,19,0.4946089562844379,0.2949215514829143
resnet50,0,153.csv,MinMax,1.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,Standardization,4.0,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,KnnImpute,16.5,16,0.5105126663916628,0.2722503824602105
resnet50,0,153.csv,KnnImpute,3.5,56,0.2977443487060376,0.5755573756338218
resnet50,0,153.csv,KnnImpute,5.5,44,0.388078840129037,0.44678311416759775
resnet50,0,153.csv,KnnImpute,13.0,19,0.48127049470635336,0.31393588932614624
resnet50,0,153.csv,KnnImpute,12.0,19,0.4752647028945459,0.32249730803679044
resnet50,0,153.csv,KnnImpute,7.0,38,0.41959686930823265,0.40185331087223697
resnet50,0,153.csv,KnnImpute,19.5,14,0.5365435462115135,0.23514265902796405
resnet50,0,153.csv,MinMax,15.5,0,0.701521580493067,-3.7992217142068796e-05
resnet50,0,153.csv,MinMax,13.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,9.0,29,0.6861692569632211,0.02056861272431676
resnet50,0,153.csv,KnnImpute,2.5,67,0.3868231893467814,0.447852305932398
resnet50,0,153.csv,KnnImpute,11.0,24,0.680225714543717,0.02905236791764909
resnet50,0,153.csv,MinMax,6.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,8.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,19.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,13.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,MinMax,9.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,6.0,41,0.6490405004045882,0.0735658421615315
resnet50,0,153.csv,KnnImpute,0.5,112,0.055822351574352176,0.9203197131194276
resnet50,0,153.csv,KnnImpute,1.5,83,0.2340045716911243,0.6659841286177375
resnet50,0,153.csv,Standardization,15.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,MinMax,18.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,4.0,49,0.5501603463558881,0.2147064215027925
resnet50,0,153.csv,KnnImpute,11.5,24,0.679909714095086,0.029503423913879834
resnet50,0,153.csv,KnnImpute,10.0,26,0.6803774098033774,0.028835839565344634
resnet50,0,153.csv,KnnImpute,18.5,13,0.6683274123121038,0.04603588990245722
resnet50,0,153.csv,KnnImpute,4.5,44,0.5867521619575503,0.16247561641501362
resnet50,0,153.csv,Standardization,7.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,MinMax,5.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,14.5,18,0.671405121286748,0.04164279776072033
resnet50,0,153.csv,KnnImpute,5.5,40,0.6336722470716755,0.09550233892105564
resnet50,0,153.csv,KnnImpute,2.0,70,0.3112843933819332,0.555675655600411
resnet50,0,153.csv,KnnImpute,16.5,18,0.6693750368759719,0.044540520692133656
resnet50,0,153.csv,KnnImpute,16.0,18,0.6688566505028503,0.04528046040732636
resnet50,0,153.csv,MinMax,8.0,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,14.0,17,0.6694702722078028,0.044404582696914274
resnet50,0,153.csv,KnnImpute,7.5,36,0.6864913612499374,0.020108844168403528
resnet50,0,153.csv,Standardization,19.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,17.0,14,0.6685993557745378,0.04564772042390752
resnet50,0,153.csv,MinMax,3.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,15.5,19,0.6688855097070519,0.04523926705726
resnet50,0,153.csv,KnnImpute,12.0,22,0.6792661287782163,0.030422071395292183
resnet50,0,153.csv,KnnImpute,17.5,14,0.6687977561098448,0.04536452569655158
resnet50,0,153.csv,KnnImpute,1.0,98,0.14253362564824149,0.7965488758270428
resnet50,0,153.csv,Standardization,10.5,0,0.7006090847364284,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,3.0,60,0.45026936415041674,0.3572898472173599
resnet50,0,153.csv,KnnImpute,13.0,18,0.6737391003635984,0.03831129851047832
resnet50,0,153.csv,KnnImpute,7.0,35,0.42911487783294716,0.38748555719819067
resnet50,0,153.csv,MinMax,14.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,5.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,18.5,14,0.5718720886314883,0.18371528973557139
resnet50,0,153.csv,Standardization,14.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,4.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,18.0,15,0.571761050256868,0.18387378484183226
resnet50,0,153.csv,MinMax,18.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,9.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,6.0,36,0.40399998489537053,0.4233343134365505
resnet50,0,153.csv,KnnImpute,12.0,23,0.5154530916907994,0.26424722246435484
resnet50,0,153.csv,KnnImpute,2.5,68,0.22126325752041462,0.6841709577233765
resnet50,0,153.csv,KnnImpute,11.0,25,0.5009747571330067,0.28491345773717847
resnet50,0,153.csv,MinMax,2.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,19.5,14,0.5723263067166653,0.18306694321643502
resnet50,0,153.csv,KnnImpute,19.0,14,0.5719998599037913,0.1835329102523524
resnet50,0,153.csv,KnnImpute,8.5,29,0.4673233123181157,0.3329472058895624
resnet50,0,153.csv,KnnImpute,12.5,23,0.5243621553181049,0.2515305108669321
resnet50,0,153.csv,KnnImpute,1.0,93,0.10300634515327872,0.8529697352251366
resnet50,0,153.csv,KnnImpute,15.5,19,0.5618443022637677,0.19802885539560677
resnet50,0,153.csv,KnnImpute,13.5,20,0.5376069398513513,0.23262503301591797
resnet50,0,153.csv,Standardization,1.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,MinMax,9.0,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,6.5,36,0.41401679544151154,0.4090364145585038
resnet50,0,153.csv,KnnImpute,0.5,120,0.050843160119225184,0.9274269630361455
resnet50,0,153.csv,MinMax,0.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,Standardization,0.5,0,0.7006090847364281,-4.265833513894535e-05
resnet50,0,153.csv,KnnImpute,7.5,33,0.44482574641530126,0.365060014732149
