Pretrained model,Lower Bound,Upper bound,Scaling,Features,Accuracy Score,F1 Score,Cohens Kappa Score
resnet101,0,340,MinMax,1741,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1738,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1882,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1455,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1329,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1649,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1501,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1050,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1553,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1059,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1778,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1860,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1647,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1701,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1086,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1541,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1669,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1674,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1344,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1848,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1565,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1528,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1359,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1406,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,MinMax,1256,0.43333333333333335,0.339293156622489,0.12866108786610864
resnet101,0,340,Standardization,1412,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1239,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,Standardization,1095,0.580952380952381,0.4586259865458975,0.34860768417342247
resnet101,0,340,MinMax,1645,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1245,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1242,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1786,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1683,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1076,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1732,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1121,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1402,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1724,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1253,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1814,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,Standardization,1044,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1575,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1535,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1625,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,Standardization,1232,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,Standardization,1249,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,Standardization,1619,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1146,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1500,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1821,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1706,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1488,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1531,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1692,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,Standardization,1535,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1808,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1579,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,MinMax,1681,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1636,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,MinMax,1595,0.5666666666666667,0.5295013715510192,0.33191162075234226
resnet101,0,340,Standardization,1230,0.6,0.5732197046400777,0.3851516207737887
resnet101,0,340,Standardization,1238,0.6,0.5732197046400777,0.3851516207737887
